Model,Teacher,Total_Throughput_Mean,Total_Throughput_Std,Oracle_Throughput,Gap_Percent,Params,Served_User_Fairness,All_User_Fairness,Demand_Satisfaction
PerRBDeepSets,Max-Channel,43.41M,0.95M,43.54M,0.3,405249,1.000,0.017,0.017
DeepSets (legacy),PF,37.7M,0.7M,N/A,N/A,~630000,0.940,N/A,0.260
